Location,Street,Start Location,s_latitude,s_longitude,End Location,e_latitude,e_longitude,distance(m),Fuel_consumed,normalize,Label,,,
Bejai,Bejai Main Rd,"12.885798537477356, 74.84407468034205",12.88579854,74.84407468,"12.88737229928913, 74.8416279762917",12.8873723,74.84162798,500,50.705,0.527027027,Mid,,,
Bejai,KMC Bejai Trunk Rd,"12.887445381267401, 74.84169021483095",12.88744538,74.84169021,"12.887292600414634, 74.84470632829226",12.8872926,74.84470633,500,50.705,0.527027027,Mid,,,
Bejai,Pais Garden,"12.885699861632075, 74.84541836828632",12.88569986,74.84541837,"12.887294412011725, 74.84470272823619",12.88729441,74.84470273,270,27.3807,0.2162162162,Low,,,
Bejai,3rd Cross Rd,"12.887580787110858, 74.84477445925",12.88758079,74.84477446,"12.89055697868704, 74.84489289919655",12.89055698,74.8448929,350,35.4935,0.3243243243,Low,,,
Bejai,Rock View Ln,"12.889534132703862, 74.84158735990458",12.88953413,74.84158736,"12.8892898134206, 74.84282048245132",12.88928981,74.84282048,240,24.3384,0.1756756757,Low,,,
Bejai,Lalbagh Rd,"12.887368569662394, 74.84160845634574",12.88736857,74.84160846,"12.890767585300752, 74.8414260661385",12.89076759,74.84142607,350,35.4935,0.3243243243,Low,,,
Bejai,Anegundi Rd,"12.89083033592488, 74.84145825264567",12.89083034,74.84145825,"12.89017145358706, 74.84666173797008",12.89017145,74.84666174,600,60.846,0.6621621622,Mid,,,
Bejai,Bejai New Rd,"12.890000083311069, 74.84677248228049",12.89000008,74.84677248,"12.887885515002889, 74.84694430196154",12.88788552,74.8469443,240,24.3384,0.1756756757,Low,,,
Bejai,Badriya Masjid Rd,"12.887896858381264, 74.8469649493495",12.88789686,74.84696495,"12.888038133202409, 74.84561485127978",12.88803813,74.84561485,150,15.2115,0.05405405405,Low,,,
Bejai,Bejai New Rd,"12.887874342160767, 74.84697876703008",12.88787434,74.84697877,"12.885403911983715, 74.8467175337582",12.88540391,74.84671753,270,27.3807,0.2162162162,Low,,,
Bejai,Bejai Main Rd,"12.885415585555931, 74.84657874443164",12.88541559,74.84657874,"12.885792097112121, 74.8432098900154",12.8857921,74.84320989,350,35.4935,0.3243243243,Low,,,
Bejai,Bejai Main Rd,"12.890603121931136, 74.85342269346123",12.89060312,74.85342269,"12.887465568611438, 74.85071902685966",12.88746557,74.85071903,500,50.705,0.527027027,Mid,,,
Bejai,Bejai Main Rd,"12.887428829175256, 74.8507684158968",12.88742883,74.85076842,"12.885372989978643, 74.84685557488633",12.88537299,74.84685557,500,50.705,0.527027027,Mid,,,
Bejai,"Museum Rd, Bejai","12.886880711501943, 74.84987842423358",12.88688071,74.84987842,"12.88665239562026, 74.84794360369413",12.8866524,74.8479436,280,28.3948,0.2297297297,Low,,,
Bejai,Highgrove Apt Rd,"12.885779049277328, 74.84872649021891",12.88577905,74.84872649,"12.886137335493144, 74.84793014825429",12.88613734,74.84793015,130,13.1833,0.02702702703,Low,,,
Bejai,Bejai Main Rd,"12.88585502424529, 74.84674604895054",12.88585502,74.84674605,"12.88597359245966, 74.84771442179252",12.88597359,74.84771442,110,11.1551,0,Low,,,
Bejai,7th Cross Rd,"12.890343395414327, 74.84683266936207",12.8903434,74.84683267,"12.891678225390066, 74.84980476520008",12.89167823,74.84980477,450,45.6345,0.4594594595,Mid,,,
Bejai,5th Cross Rd,"12.889196611073737, 74.84704729839287",12.88919661,74.8470473,"12.889843147197599, 74.85017404201298",12.88984315,74.85017404,350,35.4935,0.3243243243,Low,,,
Bejai,5th Cross Rd,"12.890034498737583, 74.85026894775899",12.8900345,74.85026895,"12.891537983466268, 74.84986421588617",12.89153798,74.84986422,180,18.2538,0.09459459459,Low,,,
Bejai,Nodu Ln,"12.887449310444937, 74.85044262484618",12.88744931,74.85044262,"12.889687435978232, 74.85021731929604",12.88968744,74.85021732,250,25.3525,0.1891891892,Low,,,
Bejai,5th Cross Rd,"12.889702065706167, 74.84816297727139",12.88970207,74.84816298,"12.891125413199633, 74.84890736506085",12.89112541,74.84890737,240,24.3384,0.1756756757,Low,,,
Bejai,5th Cross Rd,"12.889843111259594, 74.84969261265896",12.88984311,74.84969261,"12.890971277906688, 74.84933984267788",12.89097128,74.84933984,130,13.1833,0.02702702703,Low,,,
Bejai,Police Station Rd,"12.889985543035976, 74.85254361525799",12.88998554,74.85254362,"12.890452480517343, 74.85161650137805",12.89045248,74.8516165,140,14.1974,0.04054054054,Low,,,
Bejai,Balebailu Rd,"12.893987038294044, 74.84176612975341",12.89398704,74.84176613,"12.893570329960507, 74.84415875644036",12.89357033,74.84415876,270,27.3807,0.2162162162,Low,,,
Bejai,Ashraya Rd,"12.89103312212984, 74.8442376775443",12.89103312,74.84423768,"12.893376207127037, 74.84417232369331",12.89337621,74.84417232,260,26.3666,0.2027027027,Low,,,
Bejai,Bejai New Rd,"12.891550500544458, 74.84669310985312",12.8915505,74.84669311,"12.890865124895647, 74.8453789882897",12.89086512,74.84537899,200,20.282,0.1216216216,Low,,,
Bejai,Palace Gardens Rd,"12.891531807724848, 74.84672197187288",12.89153181,74.84672197,"12.892984876404139, 74.84912688047905",12.89298488,74.84912688,300,30.423,0.2567567568,Low,,,
Bejai,Sankai Gudda Rd,"12.892011011542053, 74.8469066999265",12.89201101,74.8469067,"12.892955899015602, 74.84904264319556",12.8929559,74.84904264,260,26.3666,0.2027027027,Low,,,
Bejai,MFC Layout Rd,"12.892270501894536, 74.8473528794583",12.8922705,74.84735288,"12.893523305321034, 74.84587727384724",12.89352331,74.84587727,220,22.3102,0.1486486486,Low,,,
Bejai,Sankai Gudda Rd,"12.892010383723589, 74.84691872463624",12.89201038,74.84691872,"12.893483336634569, 74.84564434745599",12.89348334,74.84564435,260,26.3666,0.2027027027,Low,,,
Bejai,Ashraya 3rd Cross Rd,"12.89160160172056, 74.84617062290428",12.8916016,74.84617062,"12.892712160980619, 74.84408942129295",12.89271216,74.84408942,350,35.4935,0.3243243243,Low,,,
Bejai,Neelamana 3 Rd,"12.893737930512788, 74.8439990513051",12.89373793,74.84399905,"12.89619446613805, 74.84363503826981",12.89619447,74.84363504,290,29.4089,0.2432432432,Low,,,
Bejai,Neelamana 3 Rd,"12.895359753200621, 74.84404447537887",12.89535975,74.84404448,"12.895648963258138, 74.84699395320345",12.89564896,74.84699395,500,50.705,0.527027027,Mid,,,
Bejai,Neelamana 3 Rd,"12.896070512051448, 74.84364540067088",12.89607051,74.8436454,"12.897607598870218, 74.84510421214823",12.8976076,74.84510421,300,30.423,0.2567567568,Low,,,
Bejai,Neelamana Inn Rd,"12.896165028235501, 74.84346754476853",12.89616503,74.84346754,"12.896367465699194, 74.8419571743478",12.89636747,74.84195717,170,17.2397,0.08108108108,Low,,,
Bejai,Neelamana Inn Rd,"12.896210129837316, 74.84371462279908",12.89621013,74.84371462,"12.897170229814481, 74.84380655110444",12.89717023,74.84380655,130,13.1833,0.02702702703,Low,,,
Bejai,Neelamana Inn Rd,"12.897298242850757, 74.84381311741022",12.89729824,74.84381312,"12.89762467583681, 74.84513951153028",12.89762468,74.84513951,150,15.2115,0.05405405405,Low,,,
Bejai,Neelamana Inn Rd,"12.897176630452948, 74.84204678068596",12.89717663,74.84204678,"12.897240636985488, 74.84369492387475",12.89724064,74.84369492,190,19.2679,0.1081081081,Low,,,
Bejai,Kuntikan Rd,"12.89411253133652, 74.8416636052047",12.89411253,74.84166361,"12.899257240732215, 74.84372418528055",12.89925724,74.84372419,700,70.987,0.7972972973,High,,,
Bejai,Kuntikan Rd,"12.899317547026419, 74.84381055083216",12.89931755,74.84381055,"12.896570542664788, 74.8463139456789",12.89657054,74.84631395,400,40.564,0.3918918919,Mid,,,
Kadri,Pinto's Ln,"12.880906427691778, 74.84533293619764",12.88090643,74.84533294,"12.880906427691778, 74.84982808470379",12.88090643,74.84982808,500,50.705,0.527027027,Mid,,,
Kadri,Bejai Church Rd,"12.880670252612365, 74.84522199840335",12.88067025,74.845222,"12.8781031472582, 74.84649371703449",12.87810315,74.84649372,350,35.4935,0.3243243243,Low,,,
Kadri,CG Kamath Rd,"12.880398904526402, 74.84709157471391",12.8803989,74.84709157,"12.87826513455008, 74.84669360426628",12.87826513,74.8466936,240,24.3384,0.1756756757,Low,,,
Kadri,Karangalpady Cross Rd,"12.878031806100644, 74.84658233067228",12.87803181,74.84658233,"12.876202117308024, 74.84695969521798",12.87620212,74.8469597,210,21.2961,0.1351351351,Low,,,
Kadri,Kadri Rd,"12.876174670938516, 74.84723733625746",12.87617467,74.84723734,"12.877715490201552, 74.8502639578587",12.87771549,74.85026396,350,35.4935,0.3243243243,Low,,,
Kadri,GSB Colony Rd,"12.877714695700696, 74.84936747495854",12.8777147,74.84936747,"12.880209770403509, 74.84878935607428",12.88020977,74.84878936,290,29.4089,0.2432432432,Low,,,
Kadri,Vyasa Rao Rd,"12.878028488090543, 74.85027597024515",12.87802849,74.85027597,"12.880897133958804, 74.84994186680788",12.88089713,74.84994187,300,30.423,0.2567567568,Low,,,
Kadri,Kadri Rd,"12.877875194916369, 74.85043544664197",12.87787519,74.85043545,"12.879605035615041, 74.85496574669756",12.87960504,74.85496575,550,55.7755,0.5945945946,Mid,,,
Kadri,Kadri Kambla Rd,"12.880967931997208, 74.85003215583582",12.88096793,74.85003216,"12.881243131328949, 74.85491197459034",12.88124313,74.85491197,500,50.705,0.527027027,Mid,,,
Kadri,Kadri Kambla Rd,"12.881026193215924, 74.8514417277811",12.88102619,74.85144173,"12.8800116831523, 74.85254679786028",12.88001168,74.8525468,180,18.2538,0.09459459459,Low,,,
Kadri,Pinto's Ln,"12.879551116645334, 74.85332217348964",12.87955112,74.85332217,"12.881057194731795, 74.85441651473315",12.88105719,74.85441651,210,21.2961,0.1351351351,Low,,,
Bejai,Bejai New Road,"12.885382989524155, 74.8467099911836",12.88538299,74.84670999,"12.887583033571921, 74.85100250048164",12.88758303,74.8510025,600,60.846,0.6621621622,Mid,,,
Kadri,Kadri kambla,"12.887633751682628, 74.85105043431878",12.88763375,74.85105043,"12.885029554320466, 74.85070711157572",12.88502955,74.85070711,350,35.4935,0.3243243243,Low,,,
Kadri,Mallikatte,"12.885194865488321, 74.85085449028968",12.88519487,74.85085449,"12.884002574109076, 74.85347232620549",12.88400257,74.85347233,350,35.4935,0.3243243243,Low,,,
Bejai,circuit house circle,"12.887702031691477, 74.85116162783989",12.88770203,74.85116163,"12.889776242090214, 74.85271856981844",12.88977624,74.85271857,300,30.423,0.2567567568,Low,,,
Kadri,Kadri park road,"12.889878932901789, 74.85273824121482",12.88987893,74.85273824,"12.88800617850492, 74.85642120118112",12.88800618,74.8564212,450,45.6345,0.4594594595,Mid,,,
Kadri,Kadri park road,"12.888064752429017, 74.85641314197025",12.88806475,74.85641314,"12.887698702856701, 74.85980345405791",12.8876987,74.85980345,400,40.564,0.3918918919,Mid,,,
Kadri,Near Kadri park,"12.889829163404265, 74.8527467936614",12.88982916,74.85274679,"12.88823379641481, 74.85424108331867",12.8882338,74.85424108,500,50.705,0.527027027,Mid,,,
Kadri,Vasanth Vihar Kadri,"12.888200347559737, 74.85428651431536",12.88820035,74.85428651,"12.886651374211075, 74.85581730916476",12.88665137,74.85581731,250,25.3525,0.1891891892,Low,,,
Kadri,Near Kadri park,"12.887681657708738, 74.85975117498965",12.88768166,74.85975117,"12.88612345148466, 74.85860444787711",12.88612345,74.85860445,250,25.3525,0.1891891892,Low,,,
Kadri,George Martis Rd,"12.886112413684693, 74.85861906209273",12.88611241,74.85861906,"12.88528934428218, 74.85699164436676",12.88528934,74.85699164,230,23.3243,0.1621621622,Low,,,
Kadri,Near Kadri park,"12.887651445063527, 74.85906295034393",12.88765145,74.85906295,"12.885905876810966, 74.85754609603862",12.88590588,74.8575461,290,29.4089,0.2432432432,Low,,,
Kadri,Mallikatte,"12.884964438305229, 74.85060273434445",12.88496444,74.85060273,"12.883840043204025, 74.85540871928208",12.88384004,74.85540872,550,55.7755,0.5945945946,Mid,,,
Kadri,Mallikatte,"12.885110155356166, 74.8507165634746",12.88511016,74.85071656,"12.885706299119061, 74.85317346685459",12.8857063,74.85317347,300,30.423,0.2567567568,Low,,,
Kadri,1st cross road,"12.885956751363082, 74.85107192392833",12.88595675,74.85107192,"12.88688756855783, 74.85274562230072",12.88688757,74.85274562,290,29.4089,0.2432432432,Low,,,
Kadri,Mallikatte,"12.884919017972816, 74.8507121077328",12.88491902,74.85071211,"12.883904523673625, 74.85541133777835",12.88390452,74.85541134,550,55.7755,0.5945945946,Mid,,,
Kadri,Kadri Hills,"12.891699527934305, 74.8519625212166",12.89169953,74.85196252,"12.894303655921838, 74.85340018520316",12.89430366,74.85340019,400,40.564,0.3918918919,Mid,,,
Kadri,Kadri Hills,"12.89217867908967, 74.85613878438805",12.89217868,74.85613878,"12.894228513120426, 74.85325272757925",12.89422851,74.85325273,450,45.6345,0.4594594595,Mid,,,
Kadri,Yeyyadi Road,"12.89666203333432, 74.85346253163105",12.89666203,74.85346253,"12.894303903595588, 74.85339886996182",12.8943039,74.85339887,300,30.423,0.2567567568,Low,,,
Kadri,Yeyyadi Road,"12.896700474541715, 74.85355953629877",12.89670047,74.85355954,"12.896018649899307, 74.8546747518412",12.89601865,74.85467475,200,20.282,0.1216216216,Low,,,
Kadri,Kadri Hills,"12.89232420045445, 74.85603677336009",12.8923242,74.85603677,"12.894819960519685, 74.85499713020864",12.89481996,74.85499713,350,35.4935,0.3243243243,Low,,,
Kadri,Kadri Hills,"12.893247020869529, 74.85424323571483",12.89324702,74.85424324,"12.89485759928961, 74.855004983051",12.8948576,74.85500498,270,27.3807,0.2162162162,Low,,,
Kadri,Airport Road,"12.893473513631571, 74.85769056084179",12.89347351,74.85769056,"12.895052715817254, 74.8571487546379",12.89505272,74.85714875,200,20.282,0.1216216216,Low,,,
Kadri,Yeyyadi Road,"12.89503693542093, 74.85911147243853",12.89503694,74.85911147,"12.89620161599991, 74.85839170382401",12.89620162,74.8583917,160,16.2256,0.06756756757,Low,,,
Kadri,Kadri Hills,"12.893921876030971, 74.8586345862551",12.89392188,74.85863459,"12.891286368822538, 74.8585702132408",12.89128637,74.85857021,300,30.423,0.2567567568,Low,,,
